sku,system,id,old_name,new_name,status
F286797,erply,321,"10"" Fuchsia Gift Bow - 100/pk 20bx/cs cs.20","10"" Fuchsia Gift Bow - 20/pk 100bx/cs cs.100",updated
F286801,erply,330,"10"" Gold Gift Bow - 100/pk 20bx/cs cs.20","10"" Gold Gift Bow - 20/pk 100bx/cs cs.100",updated
F286798,erply,323,"10"" Pink GIft Bow - 100/pk 20bx/cs cs.20","10"" Pink GIft Bow - 20/pk 100bx/cs cs.100",updated
F286796,erply,320,"10"" Red GIft Bow - 100/pk 20bx/cs cs.20","10"" Red GIft Bow - 20/pk 100bx/cs cs.100",updated
F286802,erply,331,"10"" Royal Blue Gift Bow - 100/pk 20bx/cs cs.20","10"" Royal Blue Gift Bow - 20/pk 100bx/cs cs.100",updated
F286800,erply,327,"10"" Silver Gift Bow - 100/pk 20bx/cs cs.20","10"" Silver Gift Bow - 20/pk 100bx/cs cs.100",updated
F286803,erply,329,"10"" Sky Blue GIft Bow - 100/pk 20bx/cs cs.20","10"" Sky Blue GIft Bow - 20/pk 100bx/cs cs.100",updated
F286799,erply,325,"10"" White Gift Bow - 100/pk 20bx/cs cs.20","10"" White Gift Bow - 20/pk 100bx/cs cs.100",updated
F286797,woo,54319,"10"" Fuchsia Gift Bow - 100/pk 20bx/cs cs.20","10"" Fuchsia Gift Bow - 20/pk 100bx/cs cs.100",updated
F286801,woo,54320,"10"" Gold Gift Bow - 100/pk 20bx/cs cs.20","10"" Gold Gift Bow - 20/pk 100bx/cs cs.100",updated
F286798,woo,54321,"10"" Pink GIft Bow - 100/pk 20bx/cs cs.20","10"" Pink GIft Bow - 20/pk 100bx/cs cs.100",updated
F286796,woo,54322,"10"" Red GIft Bow - 100/pk 20bx/cs cs.20","10"" Red GIft Bow - 20/pk 100bx/cs cs.100",updated
F286802,woo,54323,"10"" Royal Blue Gift Bow - 100/pk 20bx/cs cs.20","10"" Royal Blue Gift Bow - 20/pk 100bx/cs cs.100",updated
F286800,woo,54324,"10"" Silver Gift Bow - 100/pk 20bx/cs cs.20","10"" Silver Gift Bow - 20/pk 100bx/cs cs.100",updated
F286803,woo,54325,"10"" Sky Blue GIft Bow - 100/pk 20bx/cs cs.20","10"" Sky Blue GIft Bow - 20/pk 100bx/cs cs.100",updated
F286799,woo,54326,"10"" White Gift Bow - 100/pk 20bx/cs cs.20","10"" White Gift Bow - 20/pk 100bx/cs cs.100",updated
