id,sku,barcode,name
prod-03022,P273812-60cm,737879103418,Black Bear Weighted Companion Plush - 24inch - 1/pk 12bx/cs cs.12
prod-03023,P273815-60cm,737879103449,Dairy Cow Weighted Companion Plush - 24inch - 1/pk 12bx/cs cs.12
prod-03024,P273798-60cm,737879103272,Red Panda Weighted Paw Companion Plush - 24inch - 1/pk 12bx/cs cs.12
prod-03025,P273805-60cm,737879103340,Turtle Weighted Paw Companion Plush - 24inch - 1/pk 12bx/cs cs.12
prod-03026,P273807-46cm,737879104286,Panda Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18
prod-03027,P273810-46cm,737879104262,Unicorn Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18
prod-03028,P273810-60cm,737879103395,Unicorn Weighted Paw Companion Plush - 24inch - 1/pk 12bx/cs cs.12
prod-03029,P273816-46cm,737879104279,Axolotl Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18
prod-03030,P273800-46cm,737879104231,Brown Bear Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18
prod-03031,P273803-60cm,01033918056404,Highland Cow Weighted Paw Companion Plush - 24inch - 1/pk 12bx/cs cs.12
prod-03032,P273798-46cm,737879104354,Red Panda Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18
prod-03033,P273802-46cm,737879104248,Triceratops Weighted Paw Companion Plush - 46cm - 1/pk 18bx/cs cs.18
