sku,wooId,erplyProductID,oldErplyStock,oldWooStockQty
P273679,54128,2440,1000,1000
P257123,54850,1962,1000,1000
F286505,54623,1069,1000,1000
B325070,54227,169,1000,1000
F287849,54554,908,1000,1000
F286749,54587,1012,1000,1000
F284020,54718,1436,1000,1000
F287875,54754,2272,1000,1000
S162725,55011,2566,1000,1000
T641516,54666,1310,1000,1000
B325027,54238,149,1000,1000
F285346,54709,1441,1000,1000
C801005,54294,1462,1000,1000
F284122,54714,1437,1000,1000
F286610,54527,773,1000,1000
P273692,54192,2409,1000,1000
C801015,54291,305,1000,1000
F286376,54717,1444,1000,1000
F287789,54457,588,1000,1000
F286801,54320,330,1000,1000
F286629,54712,1448,1000,1000
F286667,54532,775,1000,1000
F286802,54323,331,1000,1000
F287851,54517,728,1000,1000
F286797,54319,321,1000,1000
P257125,54862,1963,1000,1000
H424261,54162,1192,1000,1000
K229478,54645,1249,1000,1000
P273801-60cm,55001,2178,1000,1000
T641716,55062,2188,1000,1000
T641527,54978,355,1000,1000
T641585,54385,2692,1000,1000
T637522,54944,2625,1000,1000
K229480,54642,1278,1000,1000
P257161,54822,1931,1000,1000
P258418,54825,513,1000,1000
P257190,54790,1985,1000,1000
P257214,54848,1934,1000,1000
K229488,54662,1294,1000,1000
T641817,54767,2364,1000,1000
P257170,54840,511,1000,1000
S146905,54992,2503,1000,1000
B325068,54267,167,1000,1000
P257177,54853,1975,1000,1000
T641669,54932,2651,1000,1000
T641137,55055,2602,1000,1000
P257280,54869,2006,1000,1000
T640819,54422,2702,1000,1000
P273658,54639,1327,1000,1000
T641593,54386,2710,1000,1000
P273638,55030,2093,1000,1000
T641495,54431,2735,1000,1000
PF20200931-PK,54739,1920,1000,1000
T641165,54178,119,1000,1000
H424181,54122,1188,1000,1000
T641263,54947,2539,1000,1000
T641453,54956,563,1000,1000
T641676,54909,2545,1000,1000
T642183,54305,1540,1000,1000
P257183,54801,1981,1000,1000
T641798,54336,460,1000,1000
T641705,54948,2601,1000,1000
T641788,55080,2857,1000,1000
T641836,54109,125,1000,1000
T641852,54882,373,1000,1000
T641679,54979,2547,1000,1000
T641877,54150,130,1000,1000
T641959,54796,2397,1000,1000
F287051,52316,1735,1000,1000
S146878,54938,2474,1000,1000
T642186,54315,1544,1000,1000
P282131,54839,2567,1000,1000
F286630,54706,1424,1000,1000
F286459,54339,463,1000,1000
T641820,54782,1412,1000,1000
F287174,52341,1746,1000,1000
F287173,52338,1745,1000,1000
F287171,52333,1743,1000,1000
F287175,52343,1747,1000,1000
T641151,54954,562,1000,1000
S162599,55057,2556,1000,1000
P273744,54899,2152,1000,1000
P282115,54284,231,1000,1000
F287877,54753,2274,1000,1000
P282113,54286,229,1000,1000
F286787,54364,485,1000,1000
T637520,54930,2624,1000,1000
T641221,54113,2608,1000,1000
F286635,54719,1427,1000,1000
T641826,54668,1383,1000,1000
P257011,54826,1947,1000,1000
P272720,55053,2057,1000,1000
T642182,54308,1538,1000,1000
H424251,54720,2344,1000,1000
T641461,55072,2867,1000,1000
F287878,54764,2275,1000,1000
P273678-M,55060,2113,1000,1000
K229479,54643,1277,1000,1000
P257164,54804,499,1000,1000
C801021,54366,2695,1000,1000
T641347,54998,559,1000,1000
T641659,54673,1405,1000,1000
T641850,54775,1414,1000,1000
S162707,54999,2558,1000,1000
T641139,54783,1393,1000,1000
B325039,54235,160,1000,1000
T641209,54892,555,1000,1000
P257166,54820,501,1000,1000
T641586,54376,2694,1000,1000
P257171,54842,505,1000,1000
S146904,54880,2496,1000,1000
P282175,54233,261,1000,1000
S162591,54939,2548,1000,1000
P282185,54254,250,1000,1000
B325043,54237,161,1000,1000
K229355,54248,187,1000,1000
F286800,54324,327,1000,1000
T641714,55012,2555,1000,1000
B325076,54259,175,1000,1000
B325073,54210,172,1000,1000
K229366,54647,1267,1000,1000
F286744,54621,1151,1000,1000
F287848,54553,907,1000,1000
F286862,54328,332,1000,1000
T649989,54667,1317,1000,1000
F286631,54711,755,1000,1000
H424250,54160,1199,1000,1000
T641739,54883,359,1000,1000
F287850,54555,910,1000,1000
P282073,54625,1157,1000,1000
T641546,36041,540,1000,1000
T641343,54653,1309,1000,1000
T641868,54620,1145,1000,1000
K229486,54663,1290,1000,1000
F287792,54458,590,1000,1000
K229361,54665,1265,1000,1000
P257151,54832,1967,1000,1000
H424183,54285,272,1000,1000
F286748,54533,795,1000,1000
P257207,54815,1993,1000,1000
P273686,54133,2473,1000,1000
F286380,54716,1430,1000,1000
T642184,54306,1542,1000,1000
P257212,54811,1998,1000,1000
P257185,54864,1983,1000,1000
P257175,54823,1973,1000,1000
P257279,54851,2005,1000,1000
F286799,54326,325,1000,1000
T641581,54381,2683,1000,1000
P257181,54817,1979,1000,1000
T641893,54280,1486,1000,1000
P273623,57905,2088,1000,1000
F286628,54701,1447,1000,1000
F287547,54748,1798,1000,1000
T641588,54380,2698,1000,1000
F286605,54734,1601,1000,1000
P257189,54863,2390,1000,1000
P273680,54129,2443,1000,1000
T641675,54917,2657,1000,1000
F287876,54765,2273,1000,1000
P273642,54190,2407,1000,1000
T641690,54391,374,1000,1000
P273684,54163,2469,1000,1000
T641790,55066,2861,1000,1000
T641849,55074,2871,1000,1000
T637671,55079,2856,1000,1000
T641429,54417,2717,1000,1000
F287881,54756,2280,1000,1000
T641736,55071,2855,1000,1000
P273808-60cm,54907,2181,1000,1000
T642180,54388,2844,1000,1000
